model,auc,average_precision,sensitivity,specificity,tp,fp,tn,fn
random_forest,0.6543975941554352,0.26847128635793144,0.047058823529411764,0.9892933618843683,16,20,1848,324
extra_trees,0.652933303942562,0.2594260697240961,0.2,0.9068522483940042,68,174,1694,272
lightgbm,0.6414063484066004,0.2899909027755041,0.13823529411764707,0.9668094218415417,47,62,1806,293
xgboost,0.6375432989041441,0.28358026223566374,0.12352941176470589,0.9732334047109208,42,50,1818,298
logistic_l1_lasso,0.6276058067766721,0.22228219905968752,0.5411764705882353,0.6188436830835118,184,712,1156,156
catboost,0.6243623252298779,0.2735055513092937,0.12352941176470589,0.9603854389721628,42,74,1794,298
gradient_boosting,0.6155600516437839,0.22856868561810764,0.3911764705882353,0.7724839400428265,133,425,1443,207
logistic_l2,0.6119032623756141,0.2115672620485894,0.49411764705882355,0.6354389721627409,168,681,1187,172
svm_rbf,0.6070742536843432,0.2104897235369463,0.0,1.0,0,0,1868,340
knn,0.6008155939035142,0.21000516778014935,0.0029411764705882353,1.0,1,0,1868,339
mlp,0.5071844690767099,0.15879300141439928,0.0,0.9989293361884368,0,2,1866,340
