variable,coef,se,OR,OR_CI_low,OR_CI_high,p_value
stenosis_percent,1.7780517707530075,0.6838220109835743,5.918314945254499,1.5492721769433504,22.608326872769698,0.00931782666367729
minimum_luminal_area_mm3,-0.14711944439478467,0.06360184524699446,0.8631908679477123,0.7620243484731256,0.9777882767148908,0.02071539932751501
High-Risk Plaque Flag,0.6208552255608389,0.32951257557285235,1.8605185246373164,0.975331803090365,3.5490785490134416,0.05954300344434956
contact_volume_mm3,-0.00046101234800221316,0.0002493791840332083,0.9995390939018621,0.9990506643372947,1.0000277622565612,0.06450980511831775
const,-3.188615910394691,1.7281340402751677,0.041228895952426146,0.0013938349279061907,1.219528817526077,0.06501998095279672
low_attenuation_volume_ratio,3.0307288849337546,1.8320484296753683,20.712323989673333,0.5711976082727306,751.0542040791632,0.09806976908595276
remodeling_index,0.0006575944203857565,0.000480207427641248,1.0006578106829984,0.9997164453663167,1.0016000624196881,0.1708753353915634
history_diabetes_new_py,0.9575104935141213,0.7758699672245176,2.6052027245821403,0.5694030777326111,11.919642695288326,0.217161145426225
history_diabetes_new,-0.8962614766789521,0.7663804265030522,0.4080924746610748,0.09086871457965516,1.8327481426956045,0.24221297661069163
history_smoking,0.15026258379881982,0.13993380354594065,1.1621393616352254,0.8833775163857782,1.52886831599201,0.28290699425090937
maximum_area_stenosis_percent,-0.6819820935653775,0.8940536411317981,0.5056138245995262,0.08765952256644638,2.9163441933234355,0.4455840313734114
baseline_wbc,0.031307021684531755,0.04169737193780947,1.0318022409235774,0.9508315841348476,1.1196681748257233,0.45276386547929737
baseline_hdl_cholesterol,-0.18715474840508278,0.25936151096100507,0.8293153912209532,0.49882798162510783,1.378759900106905,0.47054166720400703
ffrct_value,0.8662292733419104,1.2538949933819923,2.37792741283222,0.2036485114880475,27.766167989058996,0.48967188152535535
ffrct_risk_class,0.07444368003227218,0.1265385434073257,1.0772846691758808,0.840660566326518,1.3805123077351826,0.5563253506992862
maximum_diameter_stenosis_percent,-0.3430400032823903,0.6085389239809781,0.7096098242702328,0.215293217540205,2.338885118881164,0.5729509218220603
baseline_hba1c,0.04515875143548889,0.08469861580855712,1.046193931514743,0.8861691032882175,1.2351161175411602,0.5939159844888247
low_attenuation_mean_hu,-0.00419856446312118,0.009907729382765575,0.9958102371862483,0.9766593499148947,1.0153366458544042,0.671736063133572
fibrotic_volume_ratio,-0.3934875397870613,1.137767321747912,0.6746997244267326,0.07255063745992034,6.274510246625873,0.7294615821685091
lesion_range_mm,-0.002652434494252577,0.009746568908287607,0.9973510801020217,0.9784795824588913,1.0165865438714556,0.7855141192824406
non_calcified_mean_hu,0.00040575575242916926,0.003679291591536469,1.0004058380824294,0.9932175818739105,1.0076461181659404,0.9121865690292554
low_attenuation_volume_mm3,132.25930771607077,10428.665753842382,2.7509805600383942e+57,0.0,inf,0.9898812721246104
fibrotic_volume_mm3,132.2454458332423,10428.666762052917,2.713109875753868e+57,0.0,inf,0.9898823335732571
fibrous_fatty_volume_mm3,132.2448327768382,10428.667135616557,2.7114470961104656e+57,0.0,inf,0.9898823808360852
positive_remodeling_flag,0.5782882611911772,2721963.6615863303,1.7829838145525032,0.0,inf,0.9999998304873493
low_attenuation_plaque_flag,-0.3291754924381362,2721963.6620389237,0.7195167359204679,0.0,inf,0.99999990350935
napkin_ring_sign_flag,-0.27918157933294707,2721963.6618585223,0.7564025436752779,0.0,inf,0.9999999181639803
plaque_feature_count,-0.06731225591492292,2721963.6618403527,0.934903226691329,0.0,inf,0.9999999802688734
spotty_calcification_flag,-0.03486668208791173,2721963.66187256,0.9657341573371183,0.0,inf,0.999999989779589
whole_lesion_plaque_burden,5.262258021283726,,192.91660966971443,,,
non_calcified_plaque_burden,3.8446496950683353,,46.742307421812896,,,
fibrous_fatty_plaque_burden,-2.9615434560520106,,0.05173899864264195,,,
fibrotic_plaque_burden,-11.51457005950429,,9.983567570704801e-06,,,
non_calcified_volume_mm3,1021.9913144057052,,inf,,,
whole_lesion_volume_mm3,-1154.2346587221043,,0.0,,,
low_attenuation_plaque_burden,-37.909926312306595,,3.435011482942072e-17,,,
calcified_plaque_burden,1.1118599728227627,,3.0400074705192615,,,
calcified_volume_mm3,1154.2314991932901,,inf,,,
